Key,ESPAÑOL,ENGLISH,PORTUGUES,РУССКИЙ
lore_hosp_body_1,"<b>EXPEDIENTE MÉDICO #104 - ALA DE CUARENTENA:</b>\n\nNo es un solo sujeto... es el resultado de la fusión de múltiples cuerpos. Lo llamamos <i>The Amalgam</i>.\nSus extremidades son deformes y alargadas, y emite un llanto lúgubre constante en la penumbra.\nHa desarrollado una agresividad extrema en la oscuridad.\nCuando las luces se apagan y entra en persecución, su velocidad es implacable.\nNo intentes huir en línea recta: busca una habitación o métete bajo la cama antes de que te vea cara a cara.","<b>MEDICAL FILE #104 - QUARANTINE WING:</b>\n\nIt is not a single subject... it is the result of fusing multiple bodies. We call it <i>The Amalgam</i>.\nIts limbs are deformed and elongated, and it emits a constant mournful cry in the gloom.\nIt has developed extreme aggressiveness in the dark.\nWhen the lights go out and it enters a chase, its speed is relentless.\nDo not try to run in a straight line: find a room or hide under a bed before it sees you face to face.","<b>ARQUIVO MÉDICO #104 - ALA DE QUARENTENA:</b>\n\nNão é um único indivíduo... é o resultado da fusão de múltiplos corpos. Nós o chamamos de <i>The Amalgam</i>.\nSeus membros são deformados e alongados, e ele emite um choro lúgubre constante na penumbra.\nEle desenvolveu uma agressividade extrema na escuridão.\nQuando as luzes se apagam e ele entra em perseguição, sua velocidade é implacável.\nNão tente fugir em linha reta: procure um quarto ou esconda-se debaixo da cama antes que ele te veja cara a cara.","<b>МЕДИЦИНСКОЕ ДЕЛО №104 - КАРАНТИННОЕ КРЫЛО:</b>\n\nЭто не один субъект... это результат слияния нескольких тел. Мы называем его <i>The Amalgam</i>.\nЕго конечности деформированы и вытянуты, и он издает постоянный скорбный плач в полумраке.\nОн развил крайнюю агрессивность в темноте.\nКогда гаснет свет и начинается погоня, его скорость неумолима.\nНе пытайтесь бежать по прямой: найдите комнату или спрячьтесь под кроватью, пока он не увидел вас лицом к лицу."
lore_hosp_title_2,Bitácora de Seguridad (Fenómeno de Oscuridad),Security Log (Darkness Phenomenon),Diário de Segurança (Fenômeno da Escuridão),Журнал безопасности (Феномен тьмы)
lore_hosp_body_2,"<b>BITÁCORA DE SEGURIDAD - 24 DE OCTUBRE:</b>\n\nEl apagón inicial de 25 segundos no fue una falla común... fue ÉL.\nCada vez que el sistema eléctrico colapsa, los lamentos de la criatura retumban por el hospital.\nY lo peor son los espejismos... a medida que la tensión aumenta, el hospital juega con tu mente.\nVerás siluetas sombrías de The Amalgam en los pasillos alternativos.\n<i>¡NO TE ACERQUES A ELLAS!</i> Si te aproximas a una de sus sombras, el ser real se materializará ahí y arrancará a correr.","<b>SECURITY LOG - OCTOBER 24:</b>\n\nThe initial 25-second blackout was not a common power failure... it was HIM.\nEvery time the electrical system collapses, the creature's wails echo throughout the hospital.\nAnd worst of all are the illusions... as tension rises, the hospital plays tricks on your mind.\nYou will see dark silhouettes of The Amalgam in side corridors.\n<i>DO NOT APPROACH THEM!</i> If you get close to one of its shadows, the real creature will materialize there and sprint.","<b>REGISTRO DE SEGURANÇA - 24 DE OUTUBRO:</b>\n\nO apagão inicial de 25 segundos não foi uma falha comum... foi ELE.\nToda vez que o sistema elétrico colapsa, os lamentos da criatura ecoam pelo hospital.\nE o pior são as ilusões... à medida que a tensão aumenta, o hospital joga com sua mente.\nVocê verá siluetas sombrias do The Amalgam nos corredores secundários.\n<i>NÃO SE APROXIME DELAS!</i> Se você se aproximar de uma de suas sombras, a criatura real se materializará lá e começará a correr.","<b>ЖУРНАЛ БЕЗОПАСНОСТИ - 24 ОКТЯБРЯ:</b>\n\nПервоначальное 25-секундное отключение света не было обычной поломкой... это был ОН.\nКаждый раз, когда электрическая система рушится, стенания существа эхом отдаются по всей больнице.\nИ самое страшное - это иллюзии... по мере роста напряжения больница играет с вашим разумом.\nВы увидите темные силуэты The Amalgam в боковых коридорах.\n<i>НЕ ПРИБЛИЖАЙТЕСЬ К НИМ!</i> Если вы подойдете к одной из его теней, настоящее существо материализуется там и побежит."
lore_hosp_title_3,Memorándum de Evacuación Médica,Medical Evacuation Memorandum,Memorando de Evacuação Médica,Меморандум о медицинской эвакуации
lore_hosp_body_3,"<b>ORDEN DE EVACUACIÓN INTERNA:</b>\n\nA todo el personal administrativo y sobrevivientes:\nLa entidad 'The Amalgam' ha tomado el control del ala principal del hospital.\nEl ascensor de escape principal de la oficina del director ha sido bloqueado por el protocolo de cuarentena.\nSe requiere una contraseña cifrada de 7 dígitos para restablecerlo.\nLas hojas de códigos de seguridad se han esparcido por las habitaciones para evitar que los sujetos las encuentren.\nBusca los 7 dígitos, mantén encendidos los subgeneradores para calmar la oscuridad y evacua inmediatamente.","<b>INTERNAL EVACUATION ORDER:</b>\n\nTo all administrative staff and survivors:\nThe entity 'The Amalgam' has taken control of the main hospital wing.\nThe main escape elevator in the director's office has been locked by the quarantine protocol.\nA 7-digit encrypted passcode is required to reset it.\nSecurity code sheets have been scattered across the rooms to prevent subjects from finding them.\nFind all 7 digits, keep sub-generators powered to soothe the darkness, and evacuate immediately.","<b>ORDEM DE EVACUAÇÃO INTERNA:</b>\n\nA todo o pessoal administrativo e sobreviventes:\nA entidade 'The Amalgam' tomou o controle da ala principal do hospital.\nO elevador de fuga principal na sala do diretor foi bloqueado pelo protocolo de quarentena.\nÉ necessária uma senha criptografada de 7 dígitos para restaurá-lo.\nAs folhas de códigos de segurança foram espalhadas pelas salas para evitar que os sujeitos as encontrem.\nProcure os 7 dígitos, mantenha os subgeradores ligados para acalmar a escuridão e evacue imediatamente.","<b>ВНУТРЕННИЙ ПРИКАЗ ОБ ЭВАКУАЦИИ:</b>\n\nВсем административным сотрудникам и выжившим:\nСущность 'The Amalgam' захватила контроль над главным крылом больницы.\nГлавный эвакуационный лифт в кабинете директора был заблокирован протоколом карантина.\nДля его сброса требуется 7-значный зашифрованный пароль.\nЛисты с кодами безопасности были разбросаны по комнатам, чтобы объекты их не нашли.\nНайдите все 7 цифр, поддерживайте питание генераторов, чтобы успокоить тьму, и немедленно эвакуируйтесь."
lore_tunn_title_1,Bitácora del Operario (The Phenomenon),Operator's Log (The Phenomenon),Diário do Operário (The Phenomenon),Журнал оператора (The Phenomenon)
lore_tunn_body_1,"<b>REGISTRO DE SEGURIDAD - SECTOR B-12:</b>\n\nHay algo más aquí abajo. No es una rata. No es una tubería rota.\nSe teletransporta por el rabillo del ojo. Cuando lo miras de frente, parece desvanecerse...\nPero si te quedas inmóvil mirándolo fijamente demasiado tiempo, su presencia te consume la mente.\nSi escuchas una estática aguda y la pantalla parpadea, ¡DATE LA VUELTA Y CORRE!\nNo dejes que se acerque.","<b>SECURITY RECORD - SECTOR B-12:</b>\n\nThere is something else down here. It's not a rat. It's not a broken pipe.\nIt teleports in the corner of your eye. When you look at it head-on, it seems to fade away...\nBut if you stand still staring at it for too long, its presence consumes your mind.\nIf you hear sharp static and your screen flickers, TURN AROUND AND RUN!\nDon't let it get close.","<b>REGISTRO DE SEGURANÇA - SETOR B-12:</b>\n\nHá algo mais aqui embaixo. Não é um rato. Não é um cano quebrado.\nEle se teletransporta pelo canto do olho. Quando você olha de frente, parece desaparecer...\nMas se você ficar parado olhando fixamente por muito tempo, sua presença consome sua mente.\nSe ouvir estática aguda e sua tela piscar, VIR-SE E CORRA!\nNão deixe ele se aproximar.","<b>ЖУРНАЛ БЕЗОПАСНОСТИ - СЕКТОР B-12:</b>\n\nЗдесь внизу есть что-то еще. Это не крыса. И не сломанная труба.\nОно телепортируется краем глаза. Когда вы смотрите на него в упор, оно кажется исчезающим...\nНо если вы слишком долго стоите на месте, глядя на него, его присутствие поглощает ваш разум.\nЕсли вы слышите резкие помехи и ваш экран мерцает, ОБЕРНИТЕСЬ И БЕГИТЕ!\nНе подпускайте его близко."
lore_tunn_title_2,Informe de Incidentes - Fuga Química,Incident Report - Chemical Leak,Relatório de Incidentes - Vazamento Químico,Отчет об инциденте - Утечка химикатов
lore_tunn_body_2,"<b>EXPEDIENTE TÉCNICO DE INSTALACIONES:</b>\n\nEl sistema de drenaje principal ha sido contaminado por residuos del laboratorio de arriba.\nSe informa de ruidos de metal doblándose y crujidos en las pasarelas (catwalks).\nCuidado con las chispas eléctricas expuestas; pueden dañar la linterna del camcorder.\nSi el generador principal de los túneles se apaga por sobrecarga, usa los interruptores de los paneles eléctricos secundarios.","<b>FACILITIES TECHNICAL FILE:</b>\n\nThe main drainage system has been contaminated by waste from the lab above.\nReports of metal bending and creaking noises on the catwalks.\nWatch out for exposed electrical sparks; they can damage your camcorder's flashlight.\nIf the main generator in the tunnels shuts down due to overload, use the secondary electrical panel switches.","<b>ARQUIVO TÉCNICO DE INSTALAÇÕES:</b>\n\nO sistema de drenagem principal foi contaminado por resíduos do laboratório acima.\nRelatos de ruídos de metal se dobrando e estalos nas passarelas (catwalks).\nCuidado com faíscas elétricas expostas; elas podem danificar a lanterna da sua filmadora.\nSe o gerador principal dos túneis desligar por sobrecarga, use os interruptores dos painéis elétricos secundários.","<b>ТЕХНИЧЕСКИЙ ФАЙЛ ОБЪЕКТА:</b>\n\nГлавная дренажная система была загрязнена отходами из лаборатории наверху.\nПоступают сообщения о звуках гнущегося металла и скрипах на мостиках (catwalks).\nОстерегайтесь открытых электрических искр; они могут повредить фонарик вашей видеокамеры.\nЕсли главный генератор в туннелях отключится из-за перегрузки, используйте переключатели на вторичных электрических панелях."
lore_tunn_title_3,Nota Arrugada de Supervisor,Crumpled Supervisor Note,Nota Amassada do Supervisor,Смятая записка супервайзера
lore_tunn_body_3,"<b>GARABATO APRESURADO:</b>\n\nLa escotilla de escape está sellada. La consola de bombeo requiere presurizar los tres tanques principales.\nNo hay energía. El interruptor principal está en la cabina del generador...\nPero hay una estática insoportable que se mueve por el pasillo central.\nSi estás leyendo esto, no intentes pelear contra lo que acecha en la niebla negra. Solo corre y reza.","<b>HURRIED SCRIBBLE:</b>\n\nThe escape hatch is sealed. The pump console requires pressurizing the three main tanks.\nThere is no power. The main switch is in the generator cabin...\nBut there is unbearable static moving along the central hallway.\nIf you are reading this, don't try to fight what lurks in the black fog. Just run and pray.","<b>RASCUNHO APRESSADO:</b>\n\nA escotilha de fuga está selada. O console de bombeamento exige pressurizar os três tanques principais.\nNão há energia. O interruptor principal está na cabine do gerador...\nMas há uma estática insuportável se movendo pelo corredor central.\nSe você estiver lendo isso, não tente lutar contra o que espreita na névoa negra. Apenas corra e reze.","<b>ПОСПЕШНЫЕ КАРАКУЛИ:</b>\n\nСпасательный люк запечатан. Насосная консоль требует повышения давления в трех главных резервуарах.\nНет питания. Главный рубильник находится в кабине генератора...\nНо по центральному коридору перемещаются невыносимые помехи.\nЕсли вы читаете это, не пытайтесь бороться с тем, что скрывается в черном тумане. Просто бегите и молитесь."
notepad_director_code,Código de la Oficina del Director:,Director's Office Passcode:,Código da Sala do Diretor:,Код кабинета директора:
notepad_hospital_map,MAPA DEL HOSPITAL,HOSPITAL MAP,MAPA DO HOSPITAL,КАРТА БОЛЬНИЦЫ
notepad_tunnels_map,PLANO DE LOS TÚNELES,TUNNELS SCHEMATIC,PLANO DOS TÚNEIS,СХЕМА ТУННЕЛЕЙ
notepad_lore_records,REGISTROS:,LOGS:,REGISTROS:,ЖУРНАЛЫ:
notepad_close,Cerrar,Close,Fechar,Закрыть
notepad_no_lore,No has recopilado ningún informe ni documento de historia todavía.\n\nBusca papeles envejecidos y quemados en las mesas y consultas del hospital.,You haven't gathered any reports or history logs yet.\n\nLook for aged and burnt papers on tables and rooms.,Você ainda não coletou nenhum relatório ou documento de história.\n\nProcure por papéis envelhecidos e queimados nas mesas e salas.,Вы еще не собрали никаких отчетов или записей истории.\n\nИщите старые и обгоревшие бумаги на столах и в комнатах.
notepad_hint_tunnels,"Pistas del Hospital:\n\n(Esta sección correspondía al Hospital. En los túneles no se requieren notas clave para avanzar).\n\n⚠️ Tu objetivo actual en el sector de túneles es localizar la consola de drenaje, accionar la palanca de bombeo y evacuar por la escotilla principal.","Hospital Clues:\n\n(This section belonged to the Hospital. In the tunnels, no keycodes are required to advance).\n\n⚠️ Your current objective in the tunnels is to locate the drainage console, activate the pump lever, and escape through the main hatch.","Pistas do Hospital:\n\n(Esta seção correspondia ao Hospital. Nos túneis não são necessárias notas de código para avançar).\n\n⚠️ Seu objetivo atual nos túneis é localizar o console de drenagem, acionar a alavanca de bombeamento e evacuar pela escotilha principal.","Подсказки больницы:\n\n(Этот раздел относился к больнице. В туннелях коды не требуются для продвижения).\n\n⚠️ Ваша текущая цель в туннелях — найти консоль дренажа, активировать рычаг насоса и сбежать через главный люк."
notepad_hint_header,Pistas encontradas en el laberinto:\n\n,Clues found in the maze:\n\n,Pistas encontradas no labirinto:\n\n,"Подсказки, найденные в лабиринте:\n\n"
notepad_hint_digit,• Dígito {0} del código: {1}\n,• Digit {0} of the code: {1}\n,• Dígito {0} do código: {1}\n,• Цифра {0} кода: {1}\n
notepad_hint_none,(Aún no has encontrado ninguna nota. Busca papeles blancos con números en las consultas y oficinas del hospital).,(You haven't found any notes yet. Search for white papers with numbers in offices and hospital rooms).,(Você ainda não encontrou nenhuma nota. Procure por papéis brancos com números nas salas e escritórios do hospital).,(Вы еще не нашли ни одной записки. Ищите белые бумаги с цифрами в кабинетах и палатах больницы).
notepad_hint_complete,¡Código completo descubierto! Ve a la puerta de la Oficina del Director e ingresa los 7 números.,Complete code discovered! Go to the Director's Office door and enter the 7 numbers.,Código completo descoberto! Vá até a porta da Sala do Diretor e insira os 7 números.,Полный код обнаружен! Идите к двери кабинета директора и введите 7 цифр.
notepad_hint_progress,\n({0} de 7 notas encontradas. Sigue explorando para rellenar los casilleros vacíos).,\n({0} of 7 notes found. Keep exploring to fill in the empty slots).,\n({0} de 7 notas encontradas. Continue explorando para preencher as lacunas).,"\n(Найдено {0} из 7 записок. Продолжайте исследовать, чтобы заполнить пустые ячейки)."
notepad_tab_code,CLAVE,CODE,CÓDIGO,КОД
notepad_tab_map,MAPA,MAP,MAPA,КАРТА
notepad_tab_lore,REGISTROS,RECORDS,REGISTROS,ЖУРНАЛЫ
end_depot_msg1,Logré salir... La luz del exterior por fin ciega esta pesadilla.,I made it out... The outside light finally blinds this nightmare.,Consegui sair... A luz exterior finalmente cega esse pesadelo.,Мне удалось выбраться... Свет снаружи наконец ослепляет этот кошмар.
end_depot_msg2,Pero sé que en la oscuridad de esa fábrica...,But I know that in the darkness of that factory...,Mas eu sei que na escuridão daquela fábrica...,"Но я знаю, что в темноте этой фабрики..."
end_depot_msg3,La Réplica seguirá esperando.,The Replica will keep waiting.,A Réplica continuará esperando.,Реплика будет ждать.
end_depot_title,¡HAS ESCAPADO DE LA RÉPLICA!,YOU ESCAPED THE REPLICA!,VOCÊ ESCAPOU DA RÉPLICA!,ВЫ СБЕЖАЛИ ОТ РЕПЛИКИ!
end_depot_subtitle,Sobreviviste al Depósito Industrial,You survived the Industrial Depot,Você sobreviveu ao Depósito Industrial,Вы выжили на Промышленном складе
end_depot_loading,Volviendo al Menú Principal...,Returning to Main Menu...,Voltando ao Menu Principal...,Возвращение в Главное меню...
monologue_depot_nora,Este lugar... huele a aceite y miedo. Algo aquí no está bien.,This place... it smells like oil and fear. Something here is not right.,Este lugar... cheira a óleo e medo. Algo aqui não está certo.,Это место... пахнет маслом и страхом. Что-то здесь не так.
monologue_depot_ethan,El depósito está en silencio. Demasiado silencio para un sitio de este tamaño.,The depot is silent. Too silent for a place this size.,O depósito está em silêncio. Silêncio demais para um lugar desse tamanho.,В депо тихо. Слишком тихо для места такого размера.
interact_battery,[E]  Recoger Pila de Repuesto,[E]  Pick up Spare Battery,[E]  Coletar Bateria de Reposição,[E]  Взять запасную батарейку
interact_fuse,[E]  Recoger Fusible de Repuesto,[E]  Pick up Spare Fuse,[E]  Coletar Fusível de Reposição,[E]  Взять запасной предохранитель
interact_survival_guide,[E]  Recoger Guía de Supervivencia,[E]  Pick up Survival Guide,[E]  Coletar Guia de Sobrevivência,[E]  Взять руководство по выживанию
interact_ladder_part,[E]  Recoger Pieza de Escalera,[E]  Pick up Ladder Part,[E]  Coletar Peça da Escada,[E]  Взять деталь лестницы
interact_metal_key,[E]  Recoger Llave,[E]  Pick up Key,[E]  Coletar Chave,[E]  Взять ключ
interact_drawer_open,[E]  Abrir Cajón,[E]  Open Drawer,[E]  Abrir Gaveta,[E]  Открыть ящик
interact_drawer_close,[E]  Cerrar Cajón,[E]  Close Drawer,[E]  Fechar Gaveta,[E]  Закрыть ящик
interact_door_open,Abrir Puerta,Open Door,Abrir Porta,Открыть дверь
interact_door_close,Cerrar Puerta,Close Door,Fechar Porta,Закрыть дверь
interact_door_locked,Puerta Bloqueada,Door Locked,Porta Trancada,Дверь заперта
interact_use_key,Usar Llave,Use Key,Usar Chave,Использовать ключ
monologue_found_guide,Una guía de supervivencia... esto me mostrará cómo encontrar las llaves y salir.,A survival guide... this will show me how to find the keys and get out.,Um guia de sobrevivência... isso me mostrará como encontrar as chaves e sair.,"Руководство по выживанию... оно покажет мне, как найти ключи и выбраться."
pause_title,PARTIDA EN PAUSA,GAME PAUSED,JOGO PAUSADO,ИГРА НА ПАУЗЕ
pause_subtitle,• TRANSMISIÓN SUSPENDIDA  |  VHS,• TRANSMISSION SUSPENDED  |  VHS,• TRANSMISSÃO SUSPENSA  |  VHS,• ПЕРЕДАЧА ПРИОСТАНОВЛЕНА  |  VHS
pause_resume,  REANUDAR PARTIDA,  RESUME GAME,  RETOMAR PARTIDA,  ВОЗОБНОВИТЬ ИГРУ
pause_options,  OPCIONES,  OPTIONS,  OPÇÕES,  НАСТРОЙКИ
pause_quit,  SALIR AL MENÚ,  QUIT TO MENU,  SAIR PARA O MENU,  ВЫХОД В МЕНЮ
pause_settings_title,CONFIGURACIÓN DE AJUSTES,SETTINGS CONFIGURATION,CONFIGURAÇÕES DE AJUSTES,КОНФИГУРАЦИЯ НАСТРОЕК
pause_tab_audio,AUDIO Y CONTROLES,AUDIO & CONTROLS,ÁUDIO E CONTROLES,АУДИО И УПРАВЛЕНИЕ
pause_tab_graphics,GRÁFICOS Y RENDIMIENTO,GRAPHICS & PERFORMANCE,GRÁFICOS E DESEMPENHO,ГРАФИКА И ПРОИЗВОДИТЕЛЬНОСТЬ
pause_volume,Volumen de Audio: {0}%,Audio Volume: {0}%,Volume de Áudio: {0}%,Громкость звука: {0}%
pause_sensitivity,Sensibilidad de Cámara: {0:F1},Camera Sensitivity: {0:F1},Sensibilidade da Câmera: {0:F1},Чувствительность камеры: {0:F1}
pause_hud,Tamaño de Interfaz / HUD: {0:F2}x,HUD / Interface Size: {0:F2}x,Tamanho da Interface / HUD: {0:F2}x,Размер интерфейса / HUD: {0:F2}x
pause_fullscreen,Pantalla Completa,Fullscreen,Tela Cheia,Полноэкранный режим
pause_graphics_quality,Calidad de Gráficos:,Graphics Quality:,Qualidade Gráfica:,Качество графики:
pause_resolution,Resolución de Pantalla:,Screen Resolution:,Resolução da Tela:,Разрешение экрана:
pause_native_res,{0}x{1} (Nativa del Dispositivo),{0}x{1} (Device Native),{0}x{1} (Nativa do Dispositivo),{0}x{1} (Родное устройства)
pause_adjust_gamma,CALIBRAR GAMMA ({0:F1}x),CALIBRATE GAMMA ({0:F1}x),CALIBRAR GAMMA ({0:F1}x),КАЛИБРОВКА ГАММЫ ({0:F1}x)
pause_save_back,  GUARDAR Y VOLVER,  SAVE & BACK,  SALVAR E VOLTAR,  СОХРАНИТЬ И ВЕРНУТЬСЯ
pause_gamma_title,CALIBRACIÓN DE BRILLO / GAMMA,BRIGHTNESS / GAMMA CALIBRATION,CALIBRAÇÃO DE BRILHO / GAMMA,КАЛИБРОВКА ЯРКОСТИ / ГАММЫ
pause_gamma_inst,Ajusta el brillo hasta que el icono del engranaje de la derecha sea apenas visible sobre el fondo oscuro.,Adjust the brightness until the gear icon on the right is barely visible against the dark background.,Ajuste o brilho até que o ícone da engrenagem à direita seja apenas visível contra o fundo escuro.,"Отрегулируйте яркость, пока значок шестеренки справа не станет едва виден на темном фоне."
pause_gamma_level,Brillo del Juego: {0:F2}x,Game Brightness: {0:F2}x,Brilho do Jogo: {0:F2}x,Яркость игры: {0:F2}x
pause_gamma_confirm,  CONFIRMAR Y GUARDAR,  CONFIRM & SAVE,  CONFIRMAR E SALVAR,  ПОДТВЕРДИТЬ И СОХРАНИТЬ
pause_gamma_cancel,  CANCELAR,  CANCEL,  CANCELAR,  ОТМЕНА
monologue_subgens_complete,"¡Energía reactivada! La consola de bombeo ya puede presurizarse.","Power restored! The pump console can now be pressurized.","Energia restaurada! O console de bombeamento agora pode ser pressurizado.","Энергия восстановлена! Насосную консоль теперь можно герметизировать."
msg_battery_picked,Pila de repuesto recogida! Batería cargada +{0}%,Spare battery collected! Battery charged +{0}%,Bateria reserva coletada! Bateria carregada +{0}%,Запасная батарейка взята! Батарея +{0}%
msg_fuse_picked,Fusible de repuesto recogido! (Total: {0}),Spare fuse collected! (Total: {0}),Fusível reserva coletado! (Total: {0}),Запасной предохранитель взят! (Всего: {0})
msg_keycard_picked_elev,¡Tarjeta del Director recogida! Dirígete al Ascensor de Escape.,Director Keycard picked up! Head to the Escape Elevator.,Cartão do Diretor coletado! Vá para o Elevador de Fuga.,Ключ-карта директора получена! Идите к эвакуационному лифту.
msg_access_granted,"¡ACCESO CONCEDIDO!\nOficina del Director abierta.","ACCESS GRANTED!\nDirector's Office unlocked.","ACESSO CONCEDIDO!\nSala do Diretor aberta.","ДОСТУП РАЗРЕШЕН!\nКабинет директора открыт."
msg_access_denied,CÓDIGO DE ACCESO INCORRECTO,INCORRECT ACCESS CODE,CÓDIGO DE ACESSO INCORRETO,НЕВЕРНЫЙ КОД ДОСТУПА
monologue_power_restored,Bien; el sistema eléctrico principal está restaurado. Ahora la oficina del director debería tener energía.,Good; the main electrical grid is restored. Now the director's office should have power.,Bom; a rede elétrica principal foi restaurada. Agora a sala do diretor deve ter energia.,Отлично; главная электросеть восстановлена. Теперь в кабинете директора должно быть питание.
monologue_fuse_replaced,Fusible reemplazado. Volvemos a tener corriente eléctrica. Debo darme prisa antes de otra sobrecarga.,Fuse replaced. We have electrical power again. I must hurry before another overload.,Fusível substituído. Temos energia novamente. Preciso me apressar antes de outra sobrecarga.,Предохранитель заменен. Питание снова есть. Нужно спешить до следующей перегрузки.
interact_powerbox,[E]  Rearmar Caja de Fusibles,[E]  Reset Fuse Box,[E]  Rearmar Caixa de Fusíveis,[E]  Перезапустить блок предохранителей
elev_descending,DESCENDIENDO AL SÓTANO...,DESCENDING TO BASEMENT...,DESCENDING TO BASEMENT...,СПУСК В ПОДВАЛ...
elev_prompt_start,[E]  Iniciar Descenso al Sótano,[E]  Start Descent to Basement,[E]  Iniciar Descida ao Subsolo,[E]  Начать спуск в подвал
elev_prompt_no_power,Elevador sin Energía (Repare Fusibles),Elevator Unpowered (Repair Fuses),Elevador Sem Energia (Repare Fusíveis),Лифт обесточен (Отремонтируйте предохранители)
elev_prompt_insert_keycard,[E]  Insertar Tarjeta del Director,[E]  Insert Director Keycard,[E]  Inserir Cartão do Diretor,[E]  Вставить ключ-карту директора
elev_prompt_requires_keycard,Panel Cerrado (Requiere Tarjeta de Acceso),Panel Locked (Requires Keycard),Painel Trancado (Requer Cartão de Acesso),Панель закрыта (Требуется ключ-карта)
elev_prompt_call,[E]  Llamar al Elevador,[E]  Call Elevator,[E]  Chamar Elevador,[E]  Вызвать лифт
elev_prompt_calling,Elevador descendiendo... ({0}s),Elevator descending... ({0}s),Elevador descendendo... ({0}s),Лифт спускается... ({0}с)
elev_prompt_call_suspended,Llamada Suspendida (Sin Energía),Call Suspended (No Power),Chamada Suspensa (Sem Energia),Вызов приостановлен (Нет питания)
tunnels_alarm,[!] ALARMA DE SISTEMA,[!] SYSTEM ALARM,[!] ALARME DE SISTEMA,[!] СИСТЕМНАЯ ТРЕВОГА
tunnels_pump_active,BOMBA HIDRÁULICA ACTIVA,HYDRAULIC PUMP ACTIVE,BOMBA HIDRÁULICA ATIVA,ГИДРАВЛИЧЕСКИЙ НАСОС АКТИВЕН
tunnels_evacuating,EVACUANDO AGUA,EVACUATING WATER,EVACUANDO ÁGUA,ОТЧАЧИВАНИЕ ВОДЫ
tunnels_time_remaining,{0}s RESTANTES,{0}s REMAINING,{0}s RESTANTES,{0}с ОСТАЛОСЬ
tunnels_infestation,[!] ACTIVIDAD PARANORMAL DETECTADA: INFESTACIÓN [!],[!] PARANORMAL ACTIVITY DETECTED: INFESTATION [!],[!] ATIVIDADE PARANORMAL DETECTADA: INFESTAÇÃO [!],[!] ОБНАРУЖЕНА ПАРАНОРМАЛЬНАЯ АКТИВНОСТЬ: ИНФЕСТАЦИЯ [!]
tunnels_drained,[!] SISTEMA DRENADO,[!] SYSTEM DRAINED,[!] SISTEMA DRENADO,[!] СИСТЕМА ОСУШЕНА
tunnels_hatch_open,ESCOTILLA ABIERTA,HATCH OPEN,ESCOTILHA ABERTA,ЛЮК ОТКРЫТ
tunnels_drained_msg,"¡AGUA EVACUADA!\nBUSCA LA ESCOTILLA DE SALIDA","WATER EVACUATED!\nFIND THE ESCAPE HATCH","ÁGUA EVACUADA!\nPROCURE A ESCOTILHA DE SAÍDA","ВОДА ОТЧАЧАНА!\nИЩИТЕ СПАСАТЕЛЬНЫЙ ЛЮК"
tunnels_evacuate_now,[!] ¡EVACÚA INMEDIATAMENTE! [!],[!] EVACUATE IMMEDIATELY! [!],[!] EVACUE IMEDIATAMENTE! [!],[!] СРОЧНО ЭВАКУИРУЙТЕСЬ! [!]
